순위,종목코드,종목명,시가총액,종목선정일,시장,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률,종가,투자연도,투자월
17.0,039030,이오테크닉스,,2019-12-30,KOSDAQ,14.78,20.68,62.42,113.87,1.6,103300.0,2020,2020-01
18.0,086450,동국제약,,2019-12-30,KOSDAQ,17.39,42.11,52.57,53.9,-1.2,17838.0,2020,2020-01
19.0,138080,오이솔루션,,2019-12-30,KOSDAQ,32.72,11.91,18.86,271.94,-14.0,49450.0,2020,2020-01
20.0,096530,씨젠,,2019-12-30,KOSDAQ,8.89,50.25,16.1,91.57,-1.8,15404.0,2020,2020-01
21.0,230240,에치에프알,,2019-12-30,KOSDAQ,22.5,15.52,48.86,159.02,-11.6,29140.0,2020,2020-01
22.0,036830,솔브레인,,2019-12-30,KOSDAQ,19.74,15.48,78.42,77.29,16.1,40436.0,2020,2020-01
23.0,007700,F&F,,2019-12-30,KOSPI,1.36,15.58,25.28,179.65,-9.4,56000.0,2020,2020-01
24.0,058820,CMG제약,,2019-12-30,KOSDAQ,7.87,55.11,31.58,5.22,-15.8,4250.0,2020,2020-01
25.0,180640,한진칼,,2019-12-30,KOSPI,11.58,47.6,33.33,34.23,2.5,40000.0,2020,2020-01
26.0,032500,케이엠더블유,,2019-12-30,KOSDAQ,10.13,-29.9,24.03,363.49,-3.0,51100.0,2020,2020-01
27.0,214150,클래시스,,2019-12-30,KOSDAQ,-8.12,-1.05,15.98,246.39,-13.1,14150.0,2020,2020-01
28.0,074600,원익QnC,,2019-12-30,KOSDAQ,27.35,38.67,39.29,56.0,-2.9,15600.0,2020,2020-01
29.0,005290,동진쎄미켐,,2019-12-30,KOSDAQ,15.52,0.3,66.67,129.14,4.5,16750.0,2020,2020-01
30.0,240810,원익IPS,,2019-12-30,KOSDAQ,17.54,24.05,49.69,78.36,-4.2,35850.0,2020,2020-01
31.0,213420,덕산네오룩스,,2019-12-30,KOSDAQ,24.35,19.0,57.49,85.21,8.0,26300.0,2020,2020-01
32.0,035420,NAVER,,2019-12-30,KOSPI,8.43,18.79,63.6,52.87,-3.8,186500.0,2020,2020-01
33.0,115450,지트리비앤티,,2019-12-30,KOSDAQ,7.74,58.89,10.99,10.99,-14.7,13356.0,2020,2020-01
34.0,009420,한올바이오파마,,2019-12-30,KOSPI,7.24,39.08,45.78,0.28,-29.9,36300.0,2020,2020-01
35.0,166090,하나머티리얼즈,,2019-12-30,KOSDAQ,18.81,37.32,30.24,57.26,-6.3,18950.0,2020,2020-01
36.0,207940,삼성바이오로직스,,2019-12-30,KOSPI,10.04,40.81,35.31,12.03,11.9,629806.0,2020,2020-01
37.0,003520,영진약품,,2019-12-30,KOSPI,2.0,41.67,30.77,11.62,-15.8,6630.0,2020,2020-01
38.0,014680,한솔케미칼,,2019-12-30,KOSPI,4.95,33.17,33.33,36.77,2.8,106000.0,2020,2020-01
39.0,228760,지노믹트리,,2019-12-30,KOSDAQ,8.82,59.52,12.47,-14.88,-8.5,23450.0,2020,2020-01
40.0,104830,원익머트리얼즈,,2019-12-30,KOSDAQ,21.64,24.13,49.88,39.54,-14.3,30350.0,2020,2020-01
41.0,030530,원익홀딩스,,2019-12-30,KOSDAQ,34.81,29.08,35.65,55.56,-3.8,5460.0,2020,2020-01
42.0,084370,유진테크,,2019-12-30,KOSDAQ,18.28,19.57,44.1,54.21,3.6,16500.0,2020,2020-01
43.0,011790,SKC,,2019-12-30,KOSPI,7.48,28.14,28.79,42.46,2.2,51000.0,2020,2020-01
44.0,044340,위닉스,,2019-12-30,KOSDAQ,9.92,28.96,13.51,79.04,-4.0,26050.0,2020,2020-01
45.0,012510,더존비즈온,,2019-12-30,KOSPI,13.45,23.85,30.23,56.07,11.4,81000.0,2020,2020-01
46.0,090430,아모레퍼시픽,,2019-12-30,KOSPI,5.82,42.35,21.58,-4.53,-6.0,200000.0,2020,2020-01
47.0,011070,LG이노텍,,2019-12-30,KOSPI,14.75,22.81,28.44,62.04,8.6,140000.0,2020,2020-01
48.0,086820,바이오솔루션,,2019-12-30,KOSDAQ,44.24,37.14,28.0,32.52,-37.7,14545.0,2020,2020-01
49.0,000080,하이트진로,,2019-12-30,KOSPI,2.65,6.62,42.51,74.7,3.4,29000.0,2020,2020-01
50.0,002790,아모레G,,2019-12-30,KOSPI,1.85,26.75,33.05,14.02,-12.7,82700.0,2020,2020-01
51.0,230360,에코마케팅,,2019-12-30,KOSDAQ,-2.28,8.24,-10.8,182.46,25.6,16100.0,2020,2020-01
52.0,131970,테스나,,2019-12-30,KOSDAQ,32.3,14.61,0.59,162.9,26.9,25662.0,2020,2020-01
53.0,000660,SK하이닉스,,2019-12-30,KOSPI,16.32,14.48,35.4,55.54,-0.6,94100.0,2020,2020-01
54.0,215200,메가스터디교육,,2019-12-30,KOSDAQ,11.56,21.88,19.08,59.92,6.7,41500.0,2020,2020-01
55.0,143240,사람인에이치알,,2019-12-30,KOSDAQ,3.85,12.32,26.53,70.8,-7.1,31000.0,2020,2020-01
56.0,064760,티씨케이,,2019-12-30,KOSDAQ,26.73,22.49,21.14,63.12,-9.0,65900.0,2020,2020-01
57.0,183490,엔지켐생명과학,,2019-12-30,KOSDAQ,26.62,46.98,18.32,-28.82,-17.3,10850.0,2020,2020-01
58.0,265520,AP시스템,,2019-12-30,KOSDAQ,16.87,16.06,28.49,54.84,-10.7,33600.0,2020,2020-01
59.0,098460,고영,,2019-12-30,KOSDAQ,5.29,18.67,26.96,27.88,-12.8,21100.0,2020,2020-01
60.0,009150,삼성전기,,2019-12-30,KOSPI,12.61,21.36,27.81,20.77,0.0,125000.0,2020,2020-01
61.0,048410,현대바이오,,2019-12-30,KOSDAQ,-3.1,11.96,-20.84,159.3,-16.0,6620.0,2020,2020-01
62.0,178320,서진시스템,,2019-12-30,KOSDAQ,16.59,19.5,12.06,65.99,-5.7,14418.0,2020,2020-01
63.0,298380,에이비엘바이오,,2019-12-30,KOSDAQ,34.54,42.9,-0.21,20.75,-26.9,24150.0,2020,2020-01
64.0,178920,SKC코오롱PI,,2019-12-30,KOSDAQ,2.79,24.33,21.32,5.42,11.3,35000.0,2020,2020-01
65.0,035720,카카오,,2019-12-30,KOSPI,-1.28,13.28,16.73,49.03,3.6,30810.0,2020,2020-01
66.0,034730,SK,,2019-12-30,KOSPI,1.75,28.43,12.93,0.77,-10.1,262000.0,2020,2020-01
67.0,039200,오스코텍,,2019-12-30,KOSDAQ,6.17,26.51,14.22,6.64,-20.5,23267.0,2020,2020-01
68.0,243070,휴온스,,2019-12-30,KOSDAQ,11.41,40.22,3.63,-17.07,-11.1,44743.0,2020,2020-01
69.0,005935,삼성전자우,,2019-12-30,KOSPI,11.14,14.94,18.69,42.99,4.6,45400.0,2020,2020-01
70.0,060250,NHN한국사이버결제,,2019-12-30,KOSDAQ,14.44,3.99,17.77,90.56,9.0,12731.0,2020,2020-01
71.0,005930,삼성전자,,2019-12-30,KOSPI,10.93,13.76,18.72,44.19,1.1,55800.0,2020,2020-01
72.0,067160,아프리카TV,,2019-12-30,KOSDAQ,1.62,7.32,12.03,74.87,-21.6,68900.0,2020,2020-01
73.0,048530,인트론바이오,,2019-12-30,KOSDAQ,16.98,37.78,9.93,-28.25,-24.2,15500.0,2020,2020-01
74.0,090460,비에이치,,2019-12-30,KOSDAQ,5.53,14.92,18.01,30.65,-3.4,21950.0,2020,2020-01
75.0,036490,SK머티리얼즈,,2019-12-30,KOSDAQ,6.61,11.41,25.25,22.85,-15.7,185500.0,2020,2020-01
76.0,051600,한전KPS,,2019-12-30,KOSPI,10.13,13.31,25.28,17.92,-4.1,39150.0,2020,2020-01
