투자연도,투자월,종목선정일,종목코드,종목명,시장,1개월(%),3개월(%),6개월(%),12개월(%),시가총액,종가,거래량,이번달수익률
2026,2026-05,2026-04-30,0009K0,에임드바이오,KOSDAQ,-0.74,-14.04,0.0,0.0,3029843892850,46850,194521,-12.49
2026,2026-05,2026-04-30,083650,비에이치아이,KOSDAQ,5.41,35.79,92.31,245.13,3017076562500,97500,29,-16.92
2026,2026-05,2026-04-30,084370,유진테크,KOSDAQ,17.43,17.12,36.99,282.35,2979085460000,130000,415743,11.69
2026,2026-05,2026-04-30,005290,동진쎄미켐,KOSDAQ,27.91,1.07,32.24,94.17,2910060360400,56600,115,2.47
2026,2026-05,2026-04-30,043260,성호전자,KOSDAQ,8.34,135.19,1934.83,3166.77,2900743460700,40900,1115094,4.65
2026,2026-05,2026-04-30,058610,에스피지,KOSDAQ,21.99,-16.98,277.51,410.4,2829831136000,127600,135,2.43
2026,2026-05,2026-04-30,100790,미래에셋벤처투자,KOSDAQ,95.89,197.73,515.02,987.14,2783730821600,52400,4284,14.31
2026,2026-05,2026-04-30,098460,고영,KOSDAQ,64.62,19.61,141.02,191.67,2763353888750,40250,6594,-0.25
2026,2026-05,2026-04-30,257720,실리콘투,KOSDAQ,15.33,-16.98,-2.22,23.08,2691563952000,44000,499934,-6.48
2026,2026-05,2026-04-30,031980,피에스케이홀딩스,KOSDAQ,30.57,57.54,153.16,261.34,2680205698500,124300,137941,5.31
2026,2026-05,2026-04-30,140410,메지온,KOSDAQ,1.27,-49.13,41.68,117.08,2665393045900,87700,587730,-13.45
2026,2026-05,2026-04-30,067310,하나마이크론,KOSDAQ,42.81,5.17,35.03,264.89,2638629772200,39700,1525,12.34
2026,2026-05,2026-04-30,082920,비츠로셀,KOSDAQ,60.11,171.43,312.21,373.58,2584350189000,57000,591157,5.79
2026,2026-05,2026-04-30,319660,피에스케이,KOSDAQ,11.57,44.23,134.97,398.31,2569347531800,88700,277039,23.79
2026,2026-05,2026-04-30,030530,원익홀딩스,KOSDAQ,25.43,-22.46,19.71,694.19,2533405776800,32800,1920,-7.77
2026,2026-05,2026-04-30,131970,두산테스나,KOSDAQ,29.02,92.77,160.36,416.6,2526070006600,130700,232,45.45
2026,2026-05,2026-04-30,218410,RFHIC,KOSDAQ,25.73,97.07,182.34,509.17,2503989580600,94300,423540,15.38
2026,2026-05,2026-04-30,068760,셀트리온제약,KOSDAQ,2.37,-23.26,-10.33,19.06,2490970825200,56100,97332,-6.42
2026,2026-05,2026-04-30,078600,대주전자재료,KOSDAQ,25.69,109.1,109.66,91.89,2461207812500,158500,251487,-1.89
2026,2026-05,2026-04-30,476830,알지노믹스,KOSDAQ,-10.98,18.05,0.0,0.0,2450962807800,175900,217273,-12.22
2026,2026-05,2026-04-30,323280,태성,KOSDAQ,57.11,6.85,232.64,287.8,2427769410000,79500,84,-9.56
2026,2026-05,2026-04-30,010170,대한광통신,KOSDAQ,109.25,337.86,630.47,2567.25,2355607749000,15150,23300,63.37
2026,2026-05,2026-04-30,035900,JYP Ent.,KOSDAQ,2.28,-14.77,-22.25,-9.1,2234993746800,62900,208472,-6.2
2026,2026-05,2026-04-30,041510,에스엠,KOSDAQ,8.78,-16.72,-19.16,-22.03,2211627054000,96600,146749,-3.21
2026,2026-05,2026-04-30,101490,에스앤에스텍,KOSDAQ,32.67,10.66,79.5,191.88,2148422315300,100700,192436,-14.1
2026,2026-05,2026-04-30,089030,테크윙,KOSDAQ,26.49,14.6,-14.22,69.03,2123173858500,57300,996121,-4.19
2026,2026-05,2026-04-30,347700,스피어,KOSDAQ,-2.31,55.15,412.14,330.61,2113766265600,42200,1447648,3.08
