지수,연도,사이클4,사이클8,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
KOSDAQ,2017,1,1,-0.0242,-0.0064,0.0116,0.0145,0.0379,0.0261,-0.0278,0.0113,-0.0076,0.0634,0.1112,0.035
KOSDAQ,2018,2,2,0.1442,-0.0619,0.0164,0.0056,0.0042,-0.0698,-0.0522,0.0534,0.0065,-0.2111,0.0726,-0.0289
KOSDAQ,2019,3,3,0.061,0.0201,-0.0027,0.0349,-0.0772,-0.0085,-0.0874,-0.0311,0.0184,0.0591,-0.0388,0.0582
KOSDAQ,2020,4,4,-0.0408,-0.0494,-0.0682,0.1337,0.1062,0.034,0.1048,0.0404,-0.0001,-0.0654,0.1179,0.0929
KOSDAQ,2021,1,1,-0.041,-0.0159,0.0462,0.0285,-0.0017,0.0491,0.0011,0.007,-0.0338,-0.0109,-0.0269,0.0708
KOSDAQ,2022,2,2,-0.1558,0.0094,0.072,-0.0421,-0.0126,-0.1656,0.078,0.0043,-0.1665,0.0337,0.0492,-0.0689
KOSDAQ,2023,3,3,0.0901,0.069,0.0706,-0.0055,0.0167,0.0132,0.078,-0.0081,-0.0941,-0.1248,0.1298,0.042
KOSDAQ,2024,4,4,-0.0777,0.0797,0.0493,-0.0404,-0.0333,0.0005,-0.0444,-0.0442,-0.0049,-0.0273,-0.0873,0.0
KOSDAQ,2025,1,5,0.0739,0.0215,-0.0956,0.066,0.0239,0.0642,0.0304,-0.0103,0.0566,0.0694,0.0136,0.014
KOSDAQ,2026,2,6,0.242,0.0377,-0.1177,0.133,-0.0986,-0.1476,-0.2144,0.1591,,,,
