종목선정일,시장,종목명,종목코드,시가총액,기준가,1개월(%),3개월(%),6개월(%),12개월(%),3-1개월(%),6-1개월(%),12-1개월(%),모멘텀스코어,이번달수익률,전달순위
2026-03-31,NYSE,Shell PLC ADR,SHEL,0,93,11.4,26.6,30,26.9,13.65,16.75,13.96,29.5,-0.85,
2026-03-31,NYSE,Rio Tinto PLC ADR,RIO,0,93.29,-6.1,16.6,41.3,55.3,24.13,50.49,65.35,28.7,5.33,
2026-03-31,NASDAQ,Arm Holdings PLC ADR,ARM,0,151.28,18.7,38.4,6.9,41.7,16.6,-9.92,19.35,27.8,-1.55,
2026-03-31,NYSE,BHP Group Ltd ADR,BHP,0,72.74,-10.8,20.5,30.5,49.9,35.12,46.31,68.05,27.6,5.6,
2026-03-31,NYSE,Merck & Co Inc,MRK,0,120.29,-2.9,14.3,43.3,34,17.63,47.53,37.95,27.6,0.94,
2026-03-31,NASDAQ,Intel Corp,INTC,0,44.13,-3.2,19.6,31.5,94.3,23.6,35.95,100.84,26.7,41.36,
2026-03-31,NYSE,Lockheed Martin Corp,LMT,0,604.39,-8.2,25,21.1,35.3,36.06,31.82,47.32,26.7,1.54,
2026-03-31,NASDAQ,EchoStar Corp,SATS,0,117.07,1.3,7.7,53.3,357.7,6.28,51.3,351.64,26.6,9.84,
2026-03-31,NYSE,Dell Technologies Inc,DELL,0,164.13,10.8,30.4,15.8,80.1,17.64,4.45,62.46,26.5,8.33,
2026-03-31,NASDAQ,Telefonaktiebolaget LM Ericsson ADR,ERIC,0,11.27,-2.8,16.8,36.3,45.2,20.21,40.27,49.48,26.5,5.41,
2026-03-31,NYSE,Johnson & Johnson,JNJ,0,244.44,-1.6,18.1,31.8,47.4,20.04,33.98,49.8,25.6,-2.45,
2026-03-31,NYSE,Deere & Co,DE,0,563.3,-10.5,21,23.2,20,35.26,37.71,34.17,25,7.4,
2026-03-31,NASDAQ,Analog Devices Inc,ADI,0,318.14,-10.6,17.3,29.5,57.8,31.19,44.81,76.42,25,10.06,
2026-03-31,NYSE,America Movil SAB de CV ADR,AMX,0,25.48,-2.1,23.3,21.3,79.2,25.88,23.9,82.98,25,6.71,
2026-03-31,NYSE,Agnico Eagle Mines Ltd,AEM,0,202.98,-19.3,19.7,20.4,87.2,48.41,49.26,132.08,23.9,7.77,
2026-03-31,NYSE,Bristol-Myers Squibb Co,BMY,0,60.65,-2.8,12.4,34.5,-0.6,15.63,38.29,2.26,22.8,-3.35,
2026-03-31,NASDAQ,Monolithic Power Systems Inc,MPWR,0,1093.35,-4.3,20.6,18.8,88.5,26.08,24.12,97.03,22.4,23.83,
2026-03-31,NYSE,Verizon Communications Inc,VZ,0,50.2,0.1,23.3,14.2,10.7,23.1,14.08,10.54,22,-8.29,
2026-03-31,NASDAQ,Vodafone Group PLC ADR,VOD,0,15.02,-2.2,13.7,29.5,60.3,16.28,32.41,63.93,21.6,4.46,
2026-03-31,NASDAQ,ON Semiconductor Corp,ON,0,61.92,-6.9,14.3,25.6,52.2,22.77,34.82,63.38,21,10.87,
2026-03-31,NYSE,Williams Companies Inc,WMB,0,72.78,-2.6,21.1,14.9,21.8,24.31,17.95,25.03,21,-0.05,
2026-03-31,NYSE,GSK plc ADR,GSK,0,55.19,-6.7,12.5,27.9,42.5,20.58,37,52.63,20.6,5.47,
2026-03-31,NYSE,Enterprise Products Partners Units,EPD,0,37.84,4.7,18,21,10.8,12.73,15.57,5.86,20.6,-1.29,
