순위,거래소,종목코드,종목명,시가총액,종목선정일,종가,수정종가,1개월(%),3개월(%),6개월(%),12개월(%),이번달수익률
84,NYSE,FBF,FLEETBOSTON FINANCIAL CORP,33870.1,2002-06-28,32.35,29.828,-8.2,-6.64,-9.55,-14.76,-28.29
85,NYSE,CAJPY,CANON INC,33149.8,2002-06-28,25.22,14.313,-2.25,2.09,8.17,-7.71,-10.39
86,NYSE,MSI,MOTOROLA SOLUTIONS INC,33131.0,2002-06-28,102.13,40.407,-8.52,3.01,-2.34,-11.21,-20.49
87,NYSE,DEO,DIAGEO PLC,33081.7,2002-06-28,51.65,24.547,1.61,-1.56,12.98,21.46,-6.31
88,NYSE,WBK,WESTPAC BANKING CORP,32721.9,2002-06-28,9.06,3.098,-1.37,10.68,14.06,28.65,-7.65
89,NASDAQ,KMB,KIMBERLY CLARK CORP,32170.4,2002-06-28,62.0,25.886,-4.06,-3.66,4.65,12.98,-1.53
90,NYSE,RTX,RTX CORP,32107.1,2002-06-28,33.95,11.806,-1.41,-8.17,5.8,-6.02,2.35
91,NYSE,AXAHY,AXA SA,31516.1,2002-06-28,18.17,14.0,-7.39,-17.05,-11.4,-33.89,-33.13
92,NYSE,LMT,LOCKHEED MARTIN CORP,31324.1,2002-06-28,69.5,36.716,12.01,20.91,49.47,89.26,-7.76
93,NASDAQ,AMAT,APPLIED MATERIALS INC,31290.0,2002-06-28,19.02,13.743,-14.25,-29.91,-5.14,-22.53,-21.81
94,NYSE,DD,DUPONT DE NEMOURS INC,31205.6,2002-06-28,103.14,10.525,4.19,6.16,3.89,7.73,-16.03
95,NYSE,PBR,PETROBRA,30751.7,2002-06-28,4.715,1.186,-20.77,-28.77,-16.24,-23.53,-30.02
96,NYSE,F,FORD MOTOR CO,29003.7,2002-06-28,16.0,6.884,-9.35,-2.38,3.08,-32.58,-15.18
97,NASDAQ,HON,HONEYWELL INTERNATIONAL INC,28804.4,2002-06-28,35.23,18.338,-10.13,-7.5,5.25,3.65,-8.15
98,NYSE,PCRFY,PANASONIC CORP,28760.5,2002-06-28,13.83,12.345,-2.81,11.99,9.97,-11.98,-8.25
99,NYSE,FDC1,FIRST DATA CORP,28444.9,2002-06-28,37.2,20.064,-6.01,-14.68,-5.09,15.78,-6.05
100,NYSE,UNH,UNITEDHEALTH GROUP INC,28190.8,2002-06-28,22.887,17.649,0.83,19.8,29.42,48.32,-4.25
101,NYSE,KRB,MBNA CORP,28169.1,2002-06-28,22.047,20.632,-8.4,-14.0,-5.52,1.35,-12.05
102,NYSE,HWM,HOWMET AEROSPACE INC,28066.3,2002-06-28,99.45,44.972,-5.23,-11.77,-5.92,-14.39,-17.95
103,NYSE,CAH,CARDINAL HEALTH INC,27737.6,2002-06-28,61.41,27.729,-7.56,-13.34,-4.95,-10.87,-6.21
104,NYSE,CL,COLGATE PALMOLIVE CO,27383.5,2002-06-28,25.025,14.561,-7.65,-12.13,-12.77,-14.06,2.97
105,NASDAQ,ADP,AUTOMATIC DATA PROCESSING INC,27007.2,2002-06-28,43.55,20.124,-15.92,-25.09,-25.73,-11.82,-14.38
106,NYSE,TYC,TYCO INTERNATIONAL PLC,26974.8,2002-06-28,54.04,8.012,-38.39,-58.16,-77.03,-75.17,-5.25
107,NYSE,SLB,SLB LIMITED,26835.2,2002-06-28,23.25,14.28,-9.61,-20.65,-14.77,-10.39,-7.7
108,NYSE,BAX,BAXTER INTERNATIONAL INC,26718.6,2002-06-28,44.45,15.335,-17.22,-25.32,-17.12,-10.97,-10.22
109,NYSE,UBS,UBS GROUP AG,26660.0,2002-06-28,21.492,12.32,-3.88,0.28,-0.22,5.39,-8.76
110,NYSE,MRSH,MARSH & MCLENNAN COMPANIES INC,26452.0,2002-06-28,48.3,28.113,-4.26,-13.89,-9.26,-2.43,-0.25
111,NYSE,BTI,BRITISH AMERICAN TOBACCO PLC,26284.8,2002-06-28,10.7,1.67,-10.55,11.78,34.79,49.91,3.47
112,NYSE,ALL,ALLSTATE CORP,26234.3,2002-06-28,36.98,20.561,-3.9,-1.56,11.0,-14.01,2.78
113,NYSE,SKM,SK TELECOM CO LTD,26201.6,2002-06-28,40.816,14.715,0.04,0.77,14.66,47.02,-13.59
